taxon	min	max
Ctenocystis	3.5	9.6
Gyrocystis_platessa	3.5	7.9
Gyrocystis_testudiformis	5.5	6.1
Gyrocystis_cruzae	4	6.1
Gyrocystis_badulesiensis	4	6.1
Gyrocystis_erecta	4	4.6
Progyrocystis_disjuncta	4	6.1
Protocinctus_mansillaensis	8.4	9.6
Elliptocinctus_barrandei	4	4.6
Elliptocinctus_vizcainoi	6.4	7.5
Sucocystis_theronensis	4	4.6
Sucocystis_bretoni	3.5	4
Lignanicystis_barriosensis	4	4.6
Undatacinctus_undata	2.3	4
Sucocystis_acrofera	1.2	2.3
Undatacinctus_quadricornuta	2.3	4
Undatacinctus_melendezi	0	3.5
Asturicystis_jaekeli	7.5	7.9
Sotocinctus_ubaghsi	7.5	8.4
Trochocystites_bohemicus	5.2	8.2
Trochocystoides_parvus	6.7	7.5
Ludwigicinctus_truncatus	3.5	4.6
Graciacystis_ambigua	6.1	7.9
Asturicystis_havliceki	7.9	8.2
Nelegerocystis_ivantzovi	3.5	8.4
Rozanovicystis_triangularis	3.5	8.4
