"accepted_name","collection_no","collection_name","rock_unit_senior","zone","ma_lb","ma_ub","stage_lb","stage_ub"
"Gyrocystis platessa",90553,"Purujosa section 4. Moncayo Natural Park","Murero","Badulesia granieri",504.9,504.3,"Wu2","Dr1"
"Gyrocystis platessa",141553,"Rambla de Valdemiedes section 1 - level 17","Murero","Solenopleuropsis thorali",501.6,501,"Dr2","Dr2"
"Gyrocystis platessa",141554,"Jarque. Capa 205","Murero","Solenopleuropsis",503.5,501,"Dr1","Dr2"
"Gyrocystis platessa",192403,"Purujosa Section 3. Level 10. Moncayo Natural Park","Murero","Solenopleuropsis thorali",501.6,501,"Dr2","Dr2"
"Gyrocystis platessa",198910,"Rambla de Valdemiedes section 1 - level 13.5","Murero","Pardailhania multispinosa",503.7,503.1,"Dr1","Dr1"
"Gyrocystis platessa",198912,"Rambla de Valdemiedes section 1 - level 17","Murero","Solenopleuropsis ribeiroi",503.1,502.5,"Dr1","Dr1"
"Gyrocystis platessa",198913,"Jarque. Capa 193","Murero","Pardailhania multispinosa",503.7,503.1,"Dr1","Dr1"
"Gyrocystis platessa",198915,"Jarque. Capa 197","Murero","Solenopleuropsis ribeiroi",503.1,502.5,"Dr1","Dr1"
"Gyrocystis platessa",198923,"Ferrals 3. 105 m.","Ferrals","Jincella convexa",501,499.3,"Dr2","Gz1"
"Gyrocystis platessa",198927,"Ferrals 3. 080 m.","Ferrals","Solenopleuropsis thorali",501.6,501,"Dr2","Dr2"
"Gyrocystis platessa",199045,"Los Barrios de Luna Capa 2","Oville (Genestosa)","Solenopleuropsis thorali",501.6,501,"Dr2","Dr2"
"Gyrocystis testudiformis",198911,"Rambla de Valdemiedes section 1 - level 15.1","Murero","Solenopleuropsis ribeiroi",503.1,502.5,"Dr1","Dr1"
"Gyrocystis testudiformis",198914,"Jarque. Capa 194","Murero","Pardailhania multispinosa",503.7,503.1,"Dr1","Dr1"
"Gyrocystis testudiformis",198915,"Jarque. Capa 197","Murero","Solenopleuropsis ribeiroi",503.1,502.5,"Dr1","Dr1"
"Gyrocystis testudiformis",198916,"Jarque. Capa 200","Murero","Solenopleuropsis ribeiroi",503.1,502.5,"Dr1","Dr1"
"Gyrocystis cruzae",198906,"Ferredal, hacia Belmonte","Oville (Genestosa)","Solenopleuropsis",503.5,501,"Dr1","Dr2"
"Gyrocystis badulesiensis",198933,"Badules","Murero","Solenopleuropsis",503.5,501,"Dr1","Dr2"
"Gyrocystis badulesiensis",198934,"Lanzuela","Murero","Solenopleuropsis",503.5,501,"Dr1","Dr2"
"Gyrocystis erecta",198933,"Badules","Murero","Solenopleuropsis",503.5,501,"Dr1","Dr2"
"Gyrocystis erecta",198937,"Purujosa","Murero","Solenopleuropsis thorali",501.6,501,"Dr2","Dr2"
"Progyrocystis disjuncta",198935,"Jarque","Murero","Solenopleuropsis",503.5,501,"Dr1","Dr2"
"Protocinctus mansillaensis",198901,"Borraca Creek, 3 km south-east of Purujosa village","Mansilla","Eccaparadoxides asturianus",506.6,505.2,"Wu2","Wu2"
"Elliptocinctus barrandei",198921,"Torrijo de la Canada","Borobia","Solenopleuropsis",501.6,501,"Dr2","Dr2"
"Elliptocinctus barrandei",198922,"Coulouma","Coulouma","Solenopleuropsis thorali",501.6,501,"Dr2","Dr2"
"Elliptocinctus barrandei",198927,"Ferrals 3. 080 m.","Ferrals","Solenopleuropsis thorali",501.6,501,"Dr2","Dr2"
"Elliptocinctus barrandei",198928,"Route de Faveyrolles a Cousses, Rieussec","Coulouma","",501.6,501,"Dr2","Dr2"
"Elliptocinctus barrandei",198936,"Villalengua","Borobia","Solenopleuropsis",501.6,501,"Dr2","Dr2"
"Elliptocinctus vizcainoi",198942,"DR-1 [SM 79133 24763]","Menevia","Paradoxides (Mawddachites) hicksii",504.5,503.4,"Dr1","Dr1"
"Sucocystis theronensis",198921,"Torrijo de la Canada","Borobia","Solenopleuropsis",501.6,501,"Dr2","Dr2"
"Sucocystis bretoni",198923,"Ferrals 3. 105 m.","Ferrals","Jincella convexa",501,499.3,"Dr2","Gz1"
"Lignanicystis barriosensis",90554,"Los Barrios de Luna Capa 7","Oville (Genestosa)","Solenopleuropsis thorali",501.6,501,"Dr2","Dr2"
"Lignanicystis barriosensis",199041,"Los Barrios de Luna Capa 6","Oville (Genestosa)","Solenopleuropsis thorali",501.6,501,"Dr2","Dr2"
"Lignanicystis barriosensis",199043,"Los Barrios de Luna Capa 5","Oville (Genestosa)","Solenopleuropsis thorali",501.6,501,"Dr2","Dr2"
"Undatacinctus undata",198941,"High Atlas Mountains","Bailiella","Bailiella levyi",501,499.3,"Dr2","Gz1"
"Undatacinctus acrofera",198930,"La Gardie hill situated at the SE of Ferrals-les-Montagnes","La Gardie","Bailiaspis souchoni",499.3,498.2,"Gz1","Gz2"
"Undatacinctus acrofera",199040,"La Gardie hill situated at the SE of Ferrals-les-Montagnes","La Gardie","Bailiaspis souchoni",499.3,498.2,"Gz1","Gz2"
"Undatacinctus quadricornuta",198940,"Lemdad","Bailiella","Bailiella levyi",501,499.3,"Dr2","Gz1"
"Undatacinctus melendezi",193777,"Torcas","Torcas","Eccaparadoxides macrocercus",498.2,497,"Gz2","Gz2"
"Undatacinctus melendezi",198924,"Ferrals 3. 205 m.","La Gardie","Jincella convexa",501,499.3,"Dr2","Gz1"
"Undatacinctus melendezi",198925,"Ferrals 3. 315 m.","La Gardie","Bailiaspis souchoni",499.3,498.2,"Gz1","Gz2"
"Undatacinctus melendezi",198926,"Ferrals 3. 325 m.","La Gardie","Eccaparadoxides macrocercus",498.2,497,"Gz2","Gz2"
"Undatacinctus melendezi",198929,"Salleles-Cabardes","La Gardie","Eccaparadoxides macrocercus",498.2,497,"Gz2","Gz2"
"Undatacinctus melendezi",198930,"La Gardie hill situated at the SE of Ferrals-les-Montagnes","La Gardie","Bailiaspis souchoni",499.3,498.2,"Gz1","Gz2"
"Undatacinctus melendezi",199040,"La Gardie hill situated at the SE of Ferrals-les-Montagnes","La Gardie","Bailiaspis souchoni",499.3,498.2,"Gz1","Gz2"
"Asturicystis jaekeli",198919,"Soto de Caso 1 Capa 5","Oville (Genestosa)","Badulesia granieri",504.9,504.3,"Wu2","Dr1"
"Sotocinctus ubaghsi",198909,"Rambla de Valdemiedes section 1 - level 12","Murero","Badulesia tenera",505.2,504.5,"Wu2","Wu2"
"Sotocinctus ubaghsi",198918,"Soto de Caso 1 Capa 3","Oville (Genestosa)","Badulesia tenera",505.4,504.5,"Wu2","Wu2"
"Trochocystites bohemicus",67775,"""Pod hruskou"" locality, Skrje-Tyovice","Buchava (Skryje)","Eccaparadoxides pusillus",505.2,503.7,"Wu2","Dr1"
"Trochocystites bohemicus",199038,"Luh, north of Skryje. Level 7","Buchava (Skryje)","Hypagnostus parvifrons",503.8,503,"Dr1","Dr1"
"Trochocystites bohemicus",199039,"Cihatko-Milir","Buchava (Skryje)","Eccaparadoxides pusillus",505.2,503.7,"Wu2","Dr1"
"Trochocystoides parvus",198920,"Genitz","Buchava","",505.4,501.6,"Wu2","Dr2"
"Ludwigicinctus truncatus",198917,"Steinachfelsen in the Steinach Valley close to Stadtsteinach","Bergleshof","Solenopleura brachymetopa",501.6,500.5,"Dr2","Dr2"
"Graciacystis ambigua",196973,"Purujosa section 6. 2 km south of Purujosa village, Moncayo Natural Park","Murero","Badulesia granieri",504.9,504.3,"Wu2","Dr1"
"Graciacystis ambigua",196974,"Purujosa section 6. 2 km south of Purujosa village, Moncayo Natural Park","Murero","Pardailhania hispida",504.3,503.9,"Dr1","Dr1"
"Graciacystis ambigua",196975,"Purujosa section 6. 2 km south of Purujosa village, Moncayo Natural Park","Murero","Pardailhania multispinosa",503.7,503.1,"Dr1","Dr1"
"Asturicystis havliceki",67708,"Locality 7, Skryje-Tyovice","Buchava (Skryje)","Litavkaspis rejkovicensis",505.2,504.9,"Wu2","Wu2"
"Asturicystis havliceki",67709,"Locality 11, Ve zlutych, Skryje-Tyovice","Buchava (Skryje)","Litavkaspis rejkovicensis",505.2,504.9,"Wu2","Wu2"
"Asturicystis havliceki",67738,"Locality 12, Potek, Skryje-Tyovice","Buchava (Skryje)","Litavkaspis rejkovicensis",505.2,504.9,"Wu2","Wu2"
"Nelegerocystis ivantzovi",198908,"Left bank of Lena Riva, 3 km downstream of Chekurovka","Mayaktakh","Pseudanomocarina - Anomocarioides limbataeformis",502.1,500.5,"Dr2","Dr2"
"Rozanovicystis triangularis",198908,"Left bank of Lena Riva, 3 km downstream of Chekurovka","Mayaktakh","Pseudanomocarina - Anomocarioides limbataeformis",502.1,500.5,"Dr2","Dr2"
"Davidocinctus pembrokensis",198942,"DR-1 [SM 79133 24763]","Menevia","Paradoxides (Mawddachites) hicksii",504.5,503.4,"Dr1","Dr1"
