"accepted_name","ma_lb","ma_ub","rock_unit","zone","n_occs"
"Gyrocystis platessa",504.9,504.3,"Murero","Badulesia granieri",1
"Gyrocystis platessa",503.7,503.1,"Murero","Pardailhania multispinosa",2
"Gyrocystis platessa",503.5,501,"Murero","Solenopleuropsis",1
"Gyrocystis platessa",503.1,502.5,"Murero","Solenopleuropsis ribeiroi",2
"Gyrocystis platessa",501.6,501,"Murero","Solenopleuropsis thorali",2
"Gyrocystis platessa",501.6,501,"Ferrals","Solenopleuropsis thorali",1
"Gyrocystis platessa",501.6,501,"Oville (Genestosa)","Solenopleuropsis thorali",1
"Gyrocystis platessa",501,499.3,"Ferrals","Jincella convexa",1
"Gyrocystis testudiformis",503.7,503.1,"Murero","Pardailhania multispinosa",1
"Gyrocystis testudiformis",503.1,502.5,"Murero","Solenopleuropsis ribeiroi",3
"Gyrocystis cruzae",503.5,501,"Oville (Genestosa)","Solenopleuropsis",1
"Gyrocystis badulesiensis",503.5,501,"Murero","Solenopleuropsis",2
"Gyrocystis erecta",503.5,501,"Murero","Solenopleuropsis",1
"Gyrocystis erecta",501.6,501,"Murero","Solenopleuropsis thorali",1
"Progyrocystis disjuncta",503.5,501,"Murero","Solenopleuropsis",1
"Protocinctus mansillaensis",506.6,505.2,"Mansilla","Eccaparadoxides asturianus",1
"Elliptocinctus barrandei",501.6,501,"Borobia","Solenopleuropsis",2
"Elliptocinctus barrandei",501.6,501,"Coulouma","Solenopleuropsis thorali",1
"Elliptocinctus barrandei",501.6,501,"Ferrals","Solenopleuropsis thorali",1
"Elliptocinctus barrandei",501.6,501,"Coulouma","",1
"Elliptocinctus vizcainoi",504.5,503.4,"Menevia","Paradoxides (Mawddachites) hicksii",1
"Sucocystis theronensis",501.6,501,"Borobia","Solenopleuropsis",1
"Sucocystis bretoni",501,499.3,"Ferrals","Jincella convexa",1
"Lignanicystis barriosensis",501.6,501,"Oville (Genestosa)","Solenopleuropsis thorali",3
"Undatacinctus undata",501,499.3,"Bailiella","Bailiella levyi",1
"Undatacinctus acrofera",499.3,498.2,"La Gardie","Bailiaspis souchoni",2
"Undatacinctus quadricornuta",501,499.3,"Bailiella","Bailiella levyi",1
"Undatacinctus melendezi",501,499.3,"La Gardie","Jincella convexa",1
"Undatacinctus melendezi",499.3,498.2,"La Gardie","Bailiaspis souchoni",3
"Undatacinctus melendezi",498.2,497,"Torcas","Eccaparadoxides macrocercus",1
"Undatacinctus melendezi",498.2,497,"La Gardie","Eccaparadoxides macrocercus",2
"Asturicystis jaekeli",504.9,504.3,"Oville (Genestosa)","Badulesia granieri",1
"Sotocinctus ubaghsi",505.4,504.5,"Oville (Genestosa)","Badulesia tenera",1
"Sotocinctus ubaghsi",505.2,504.5,"Murero","Badulesia tenera",1
"Trochocystites bohemicus",505.2,503.7,"Buchava (Skryje)","Eccaparadoxides pusillus",2
"Trochocystites bohemicus",503.8,503,"Buchava (Skryje)","Hypagnostus parvifrons",1
"Trochocystoides parvus",505.4,501.6,"Buchava","",1
"Ludwigicinctus truncatus",501.6,500.5,"Bergleshof","Solenopleura brachymetopa",1
"Graciacystis ambigua",504.9,504.3,"Murero","Badulesia granieri",1
"Graciacystis ambigua",504.3,503.9,"Murero","Pardailhania hispida",1
"Graciacystis ambigua",503.7,503.1,"Murero","Pardailhania multispinosa",1
"Asturicystis havliceki",505.2,504.9,"Buchava (Skryje)","Litavkaspis rejkovicensis",3
"Nelegerocystis ivantzovi",502.1,500.5,"Mayaktakh","Pseudanomocarina - Anomocarioides limbataeformis",1
"Rozanovicystis triangularis",502.1,500.5,"Mayaktakh","Pseudanomocarina - Anomocarioides limbataeformis",1
"Davidocinctus pembrokensis",504.5,503.4,"Menevia","Paradoxides (Mawddachites) hicksii",1
