"Stage","Scale","Ma_LB","Ma_UB","Color","Record_No","Created","Modified"
"CmX2","Stage Slice",487.2,485.4,"#E6F5C9",244,"8/14/03","1/22/19"
"CmX1","Stage Slice",489.5,487.2,"#E6F5C9",325,"2/11/05","1/22/19"
"Jn2","Stage Slice",491.9,489.5,"#D9EABA",606,"6/22/13","1/22/19"
"Jn1","Stage Slice",494,491.9,"#D9EABA",635,"5/27/15","1/22/19"
"Pb2","Stage Slice",495.2,494,"#CCEBAE",707,"8/25/16","1/22/19"
"Pb1","Stage Slice",497,495.2,"#CCEBAE",806,"5/10/18","1/22/19"
"Gz2","Stage Slice",499.1,497,"#CCDFAA",807,"5/10/18","1/22/19"
"Gz1","Stage Slice",500.5,499.1,"#CCDFAA",808,"5/10/18","1/22/19"
"Dr2","Stage Slice",502.1,500.5,"#BFD99D",809,"5/10/18","1/22/19"
"Dr1","Stage Slice",504.5,502.1,"#BFD99D",810,"5/10/18","1/22/19"
"Wu2","Stage Slice",506.6,504.5,"#B3D492",835,"7/15/18","1/22/19"
"Wu1","Stage Slice",509,506.6,"#B3D492",834,"7/15/18","1/22/19"
"Cm42","Stage Slice",512,509,"#B3CA8E",813,"5/10/18","1/22/19"
"Cm41","Stage Slice",514,512,"#B3CA8E",814,"5/10/18","1/22/19"
"Cm33","Stage Slice",516.2,514,"#99C078",815,"5/10/18","1/22/19"
"Cm32","Stage Slice",518.4,516.2,"#99C078",816,"5/10/18","1/22/19"
"Cm31","Stage Slice",521,518.4,"#99C078",817,"5/10/18","1/22/19"
"Cm23","Stage Slice",523.4,521,"#A6BA80",818,"5/10/18","1/22/19"
"Cm22","Stage Slice",526,523.4,"#A6BA80",819,"5/10/18","1/22/19"
"Cm21","Stage Slice",529,526,"#A6BA80",820,"5/10/18","1/22/19"
"Fo3","Stage Slice",532,529,"#99B575",821,"5/10/18","1/22/19"
"Fo2","Stage Slice",537,532,"#99B575",822,"5/10/18","1/22/19"
"Fo1","Stage Slice",541,537,"#99B575",823,"5/10/18","1/22/19"
"Stage 10","International",489.5,485.4,"#E6F5C9",444,"3/7/10","1/22/19"
"Jiangshanian","International",494,489.5,"#D9F0BB",575,"12/18/11","1/6/16"
"Paibian","International",497,494,"#CCEBAE",442,"3/7/10","9/2/16"
"Furongian","International",497,485.4,"#B3E095",506,"5/19/10","12/24/15"
"Late/Upper Cambrian","International",497,485.4,"#B3E095",507,"5/19/10","1/22/19"
"Guzhangian","International",500.5,497,"#CCDFAA",435,"9/19/08","7/15/18"
"Drumian","International",504.5,500.5,"#BFD99D",434,"9/19/08","7/15/18"
"Wuliuan","International",509,504.5,"#B3D492",833,"7/15/18","9/1/18"
"Middle Cambrian","International",509,497,"#BFD99D",514,"5/19/10","7/15/18"
"Miaolingian","International",509,497,"#99C078",836,"7/15/18","1/22/19"
"Stage 4","International",514,509,"#B3CA8E",432,"9/19/08","1/18/16"
"Stage 3","International",521,514,"#A6C583",431,"9/19/08","7/7/18"
"Stage 2","International",529,521,"#A6BA80",430,"9/19/08","9/20/16"
"Early/Lower Cambrian","International",537,509,"#8CB06C",519,"5/19/10","1/22/19"
"Cambrian","International",537,485.4,"#7FA056",864,"8/31/18","8/31/18"
"Fortunian","International",541,529,"#99B575",429,"9/18/08","9/1/18"
"Terreneuvian","International",541,521,"#8CB06C",888,"10/14/18","1/22/19"
